ts,revenue,weeknum,month,season,holiday
2011-10-31,40686.42,1,10,4,0
2011-11-01,40764.4,2,11,4,0
2011-11-02,42139.43,3,11,4,0
2011-11-03,40239.48,4,11,4,0
2011-11-04,49843.59,5,11,4,0
2011-11-05,1,6,11,4,1
2011-11-06,1,7,11,4,1
2011-11-07,39843.02,1,11,4,0
2011-11-08,38891.89,2,11,4,0
2011-11-09,40295.61,3,11,4,0
2011-11-10,39438.17,4,11,4,0
2011-11-11,37715.48,5,11,4,0
2011-11-12,1,6,11,4,1
2011-11-13,1,7,11,4,1
2011-11-14,40692.85,1,11,4,0
2011-11-15,41779.68,2,11,4,0
2011-11-16,39637.5,3,11,4,0
2011-11-17,38542.52,4,11,4,0
2011-11-18,35253.59,5,11,4,0
2011-11-19,1,6,11,4,1
2011-11-20,1,7,11,4,1
2011-11-21,41367.18,1,11,4,0
2011-11-22,42371.8,2,11,4,0
2011-11-23,42524.09,3,11,4,0
2011-11-24,37175.13,4,11,4,0
2011-11-25,36085.58,5,11,4,0
2011-11-26,1,6,11,4,1
2011-11-27,1,7,11,4,1
2011-11-28,39092.7,1,11,4,0
2011-11-29,42500.32,2,11,4,0
2011-11-30,42000.25,3,11,4,0
2011-12-01,39953.25,4,12,4,0
2011-12-02,45246.96,5,12,4,0
2011-12-03,1,6,12,4,1
2011-12-04,1,7,12,4,1
2011-12-05,44699.56,1,12,4,0
2011-12-06,44644.36,2,12,4,0
2011-12-07,46708.77,3,12,4,0
2011-12-08,44590.87,4,12,4,0
2011-12-09,40893.39,5,12,4,0
2011-12-10,1,6,12,4,1
2011-12-11,1,7,12,4,1
2011-12-12,45463.23,1,12,4,0
2011-12-13,46307.22,2,12,4,0
2011-12-14,46316.96,3,12,4,0
2011-12-15,46312.55,4,12,4,0
2011-12-16,47330.3,5,12,4,0
2011-12-17,1,6,12,4,1
2011-12-18,1,7,12,4,1
2011-12-19,44135.78,1,12,4,0
2011-12-20,46134.32,2,12,4,0
2011-12-21,44785.67,3,12,4,0
2011-12-22,40553.28,4,12,4,0
2011-12-23,35738.85,5,12,4,0
2011-12-24,1,6,12,4,1
2011-12-25,1,7,12,4,1
2011-12-26,42016.4,1,12,4,0
2011-12-27,39695.34,2,12,4,0
2011-12-28,40654.68,3,12,4,0
2011-12-29,40376.98,4,12,4,0
2011-12-30,36151.07,5,12,4,0
2011-12-31,26328.57,6,12,4,0
2012-01-01,1,7,1,1,1
2012-01-02,1,1,1,1,1
2012-01-03,1,2,1,1,1
2012-01-04,44419.42,3,1,1,0
2012-01-05,45807.46,4,1,1,0
2012-01-06,42389.83,5,1,1,0
2012-01-07,1,6,1,1,1
2012-01-08,1,7,1,1,1
2012-01-09,46844.52,1,1,1,0
2012-01-10,44661.7,2,1,1,0
2012-01-11,48264.72,3,1,1,0
2012-01-12,45353.52,4,1,1,0
2012-01-13,40948.23,5,1,1,0
2012-01-14,1,6,1,1,1
2012-01-15,1,7,1,1,1
2012-01-16,42121.52,1,1,1,0
2012-01-17,41736.39,2,1,1,0
2012-01-18,40457.47,3,1,1,0
2012-01-19,33868.59,4,1,1,0
2012-01-20,25424.2,5,1,1,0
2012-01-21,10766,6,1,1,0
2012-01-22,1,7,1,1,1
2012-01-23,1,1,1,1,1
2012-01-24,1,2,1,1,1
2012-01-25,1,3,1,1,1
2012-01-26,1,4,1,1,1
2012-01-27,1,5,1,1,1
2012-01-28,1,6,1,1,1
2012-01-29,17473.5,7,1,1,0
2012-01-30,27475.85,1,1,1,0
2012-01-31,32340.8,2,1,1,0
2012-02-01,40261.6,3,2,1,0
2012-02-02,41706.54,4,2,1,0
2012-02-03,40291.2,5,2,1,0
2012-02-04,1,6,2,1,1
2012-02-05,1,7,2,1,1
2012-02-06,43393.9,1,2,1,0
2012-02-07,48042.7,2,2,1,0
2012-02-08,48116.4,3,2,1,0
2012-02-09,45213.45,4,2,1,0
2012-02-10,42666.6,5,2,1,0
2012-02-11,1,6,2,1,1
2012-02-12,1,7,2,1,1
2012-02-13,43809.7,1,2,1,0
2012-02-14,45194.6,2,2,1,0
2012-02-15,45880.78,3,2,1,0
2012-02-16,44933.65,4,2,1,0
2012-02-17,43214.47,5,2,1,0
2012-02-18,1,6,2,1,1
2012-02-19,1,7,2,1,1
2012-02-20,45259.3,1,2,1,0
2012-02-21,46373.8,2,2,1,0
2012-02-22,46446.1,3,2,1,0
2012-02-23,48893.5,4,2,1,0
2012-02-24,40635.43,5,2,1,0
2012-02-25,1,6,2,1,1
2012-02-26,1,7,2,1,1
